date,volatility,confirm_v32,buy_hold
2020-04-01,-4.981335,0.000000,-7.906679
2020-05-01,-11.376845,-2.788224,-5.693613
2020-06-01,-17.891308,-8.207095,-10.466997
2020-07-01,-16.955516,-7.168516,-0.425906
2020-08-01,-10.188144,-9.968169,-6.258290
2020-09-01,-11.490659,-8.486001,-13.509385
2020-10-01,-2.104904,-2.096713,-1.066006
2020-11-01,-19.884875,-4.788830,0.000000
2020-12-01,-19.884875,-3.272812,-0.904559
2021-01-01,-3.891584,-5.229611,-20.333786
2021-02-01,-3.891584,-4.062386,-22.487619
2021-03-01,-1.289262,-5.793433,-4.626914
2021-04-01,-5.648998,-6.199212,-10.797331
2021-05-01,-7.813980,0.000000,-42.404442
2021-06-01,-5.221471,-1.764257,-45.842452
2021-07-01,-5.221471,-2.522226,-35.901917
2021-08-01,0.000000,-1.301173,-27.033151
2021-09-01,0.000000,-1.797071,-32.326263
2021-10-01,0.000000,-1.262982,-8.361159
2021-11-01,0.000000,-0.602303,-17.044222
2021-12-01,-4.425064,-4.417906,-32.716575
2022-01-01,-8.672024,-2.129141,-44.018466
2022-02-01,-4.658190,-0.917182,-37.158398
2022-03-01,-4.658190,-1.365742,-33.720719
2022-04-01,-2.553826,0.000000,-45.225040
2022-05-01,0.000000,0.000000,-53.716204
2022-06-01,-5.386079,-0.596981,-70.981789
2022-07-01,-1.299934,-0.562740,-66.081220
2022-08-01,-0.504337,-2.017253,-70.799747
2022-09-01,-1.418519,-2.988063,-71.733258
2022-10-01,-1.575552,-2.988063,-70.174251
2022-11-01,-1.524246,-2.627730,-75.028945
2022-12-01,-2.108489,-3.705836,-75.898377
2023-01-01,-1.411575,0.000000,-66.314962
2023-02-01,0.000000,-0.772352,-66.315107
2023-03-01,-1.500344,-1.294852,-58.564199
2023-04-01,-1.797643,-1.048446,-57.450248
2023-05-01,-1.782755,-3.094627,-60.389133
2023-06-01,-0.848687,0.000000,-55.632013
2023-07-01,-1.861959,-2.004713,-57.439471
2023-08-01,-3.216396,-3.338027,-62.245815
2023-09-01,-3.315091,-4.078353,-60.746663
2023-10-01,-5.821603,-4.683371,-49.513074
2023-11-01,-1.838051,-0.954302,-45.056251
2023-12-01,0.000000,-0.691525,-38.360894
2024-01-01,-0.457175,-2.765144,-38.028996
2024-02-01,-2.372990,-2.408199,-10.895428
2024-03-01,-3.001401,-3.645175,-3.093019
2024-04-01,-7.131804,-4.626073,-17.649974
2024-05-01,-6.937753,-4.991391,-8.282263
2024-06-01,-8.770679,-5.558457,-14.807579
2024-07-01,-6.155992,-5.742251,-12.273644
2024-08-01,-8.560511,-5.967960,-19.973607
2024-09-01,-4.450576,0.000000,-14.091685
2024-10-01,-4.546320,-0.339015,-4.512723
2024-11-01,0.000000,-0.288155,-2.876148
2024-12-01,-2.610964,-2.137860,-13.619219
2025-01-01,-4.927288,-2.795707,-5.510741
2025-02-01,-4.927288,-2.408413,-22.188422
2025-03-01,-5.009427,-1.098667,-23.852683
2025-04-01,-4.747708,-1.056478,-13.133927
2025-05-01,-2.337924,-0.845456,-6.422600
2025-06-01,-4.200750,-2.033749,-4.171809
2025-07-01,-5.220679,-1.119737,-5.752836
2025-08-01,-7.240626,-2.889711,-12.663896
2025-09-01,-5.869420,-3.579533,-7.971155
2025-10-01,-4.275569,-0.365504,-13.045269
2025-11-01,-0.658871,0.000000,-28.315869
2025-12-01,-4.126245,-3.513621,-30.469919
2026-01-01,-5.708059,-4.019934,-37.526919
2026-02-01,-5.708059,-0.556118,-46.865447
2026-03-01,-3.104190,-1.384757,-45.829579
2026-04-01,-0.620499,-0.404810,-39.434662
2026-05-01,-1.018407,-1.410909,-41.539260
2026-06-01,-4.757458,-0.576552,-53.482382
2026-07-01,-5.802607,-2.633996,-50.105452
2026-08-01,-0.499989,0.000000,-37.491675
