date,volatility,confirm_v32,buy_hold
2020-04-01,950.186654,1086.592340,1254.180602
2020-05-01,938.251498,1056.295708,1374.072997
2020-06-01,869.283013,997.414672,1328.413552
2020-07-01,879.190222,1008.699799,1648.829431
2020-08-01,992.957852,978.278975,1695.652174
2020-09-01,978.557275,994.384102,1564.490330
2020-10-01,1091.233293,1063.809618,2004.071543
2020-11-01,921.453097,1034.557284,2866.366148
2020-12-01,921.453097,1051.030216,4205.540206
2021-01-01,1390.679606,1029.767792,4817.216810
2021-02-01,1390.679606,1042.450768,6566.235277
2021-03-01,1582.711726,1023.641337,8558.891959
2021-04-01,1512.808434,1019.232175,8387.087393
2021-05-01,1478.095471,1105.755276,5415.297368
2021-06-01,1551.864243,1090.446351,5092.045950
2021-07-01,1551.864243,1082.032665,6026.683147
2021-08-01,1989.788031,1356.030961,6860.549658
2021-09-01,2101.240626,1349.217784,6362.876254
2021-10-01,2398.618329,1460.665787,8919.296205
2021-11-01,2468.346260,1470.439538,8282.972226
2021-12-01,2359.120369,1413.993437,6718.118366
2022-01-01,2254.290691,1447.852267,5589.646648
2022-02-01,2353.366003,1465.781378,6274.611022
2022-03-01,2353.366003,1459.145606,6617.856624
2022-04-01,2405.308988,1479.385644,5469.172604
2022-05-01,2681.409756,1554.896912,4621.346517
2022-06-01,2536.986909,1716.937606,2897.411662
2022-07-01,2820.919769,1726.926314,3386.723862
2022-08-01,2843.658496,1701.665791,2915.588193
2022-09-01,2921.961767,1684.805736,2822.378944
2022-10-01,2917.307300,1684.805736,2978.042751
2022-11-01,3004.347496,1698.863933,2493.311037
2022-12-01,2986.523122,1680.054117,2406.499927
2023-01-01,3007.784898,2594.793986,3363.385197
2023-02-01,3278.403832,2584.892252,3363.370656
2023-03-01,3493.834584,2580.406291,4137.283699
2023-04-01,3483.289234,2586.847973,4248.509525
2023-05-01,3483.817314,2533.355555,3955.067617
2023-06-01,3516.949193,2680.574202,4430.056711
2023-07-01,3481.007919,2626.836388,4249.585575
2023-08-01,3432.965325,2591.095917,3769.681547
2023-09-01,3429.464559,2571.250933,3919.368911
2023-10-01,3340.557234,2555.032976,5041.020794
2023-11-01,3581.857550,2657.894735,5486.025883
2023-12-01,3682.466430,2800.419573,6154.544133
2024-01-01,3665.631098,2741.945179,6187.683583
2024-02-01,3595.081887,2752.010745,8896.917260
2024-03-01,3669.786888,2717.129007,10379.235132
2024-04-01,3513.519672,2689.468478,8820.110513
2024-05-01,3520.861284,2679.166794,9823.440454
2024-06-01,3451.515472,2663.175989,9124.545587
2024-07-01,3550.437973,2657.993150,9395.942998
2024-08-01,3459.466861,2651.628324,8571.237458
2024-09-01,3614.959677,2824.623158,9201.221463
2024-10-01,3611.337354,2847.383819,10227.177548
2024-11-01,3800.786275,3092.756757,14029.954922
2024-12-01,3701.549113,3035.384576,13600.407154
2025-01-01,3613.510596,3014.980158,14886.956522
2025-02-01,3613.510596,3026.992844,12259.357278
2025-03-01,3610.388679,3179.615253,11997.149920
2025-04-01,3620.336040,3180.971601,13685.909554
2025-05-01,3711.926774,3230.619179,15205.191217
2025-06-01,3641.124752,3191.902647,15570.917551
2025-07-01,3602.359421,3221.682671,16821.302894
2025-08-01,3525.585573,3164.013976,15733.604770
2025-09-01,3577.702150,3141.538441,16579.002472
2025-10-01,3638.281050,3325.905143,15929.431438
2025-11-01,3775.743986,3349.908036,13131.976152
2025-12-01,3643.956508,3232.204953,12737.370947
2026-01-01,3583.835158,3215.243939,11444.583394
2026-02-01,3583.835158,3393.201425,9733.837429
2026-03-01,3682.802647,3364.926805,9923.600407
2026-04-01,3777.202446,3398.364330,11095.099607
2026-05-01,3762.078791,3364.034438,10709.553584
2026-06-01,3619.965451,3392.504178,8521.666424
2026-07-01,3580.241579,3322.300555,9140.293733
2026-08-01,3781.782761,3864.735452,11451.039698
